configuration,strategy,model_name,scenario_seed,scheduler_seed,num_bands,num_emitters,duration,noise_level,pd,pfa,intercept_rate,avg_intercept_time,bursts_intercepted,missed_bursts,scan_efficiency,unique_bands_scanned,scan_coverage,repeat_scans,repeat_rate
Sequential,sequential,none,0,0,180,5,300,medium,0.0033715441672285905,0.0033333333333333335,0.02,10.25,4,670,0.016666666666666666,180,1.0,120,0.4
Random,random,none,0,0,180,5,300,medium,0.004720161834120027,0.0033333333333333335,0.02666666666666667,9.0,7,667,0.023333333333333334,137,0.7611111111111111,163,0.5433333333333333
Smart + Logistic,smart_ml,logistic,0,0,180,5,300,medium,0.05933917734322319,0.0,0.29333333333333333,9.333333333333334,6,668,0.29333333333333333,180,1.0,120,0.4
Smart + Random Forest,smart_ml,random_forest,0,0,180,5,300,medium,0.05866486850977748,0.0,0.29,7.25,8,666,0.29,180,1.0,120,0.4
Smart + XGBoost,smart_ml,xgboost,0,0,180,5,300,medium,0.060687795010114634,0.0,0.3,11.0,5,669,0.3,180,1.0,120,0.4
Sequential,sequential,none,1,1,180,5,300,medium,0.007621951219512195,0.0,0.03333333333333333,15.75,8,197,0.03333333333333333,180,1.0,120,0.4
Random,random,none,1,1,180,5,300,medium,0.006859756097560976,0.0,0.03,28.5,6,199,0.03,152,0.8444444444444444,148,0.49333333333333335
Smart + Logistic,smart_ml,logistic,1,1,180,5,300,medium,0.06554878048780488,0.0,0.2866666666666667,13.846153846153847,13,192,0.2866666666666667,180,1.0,120,0.4
Smart + Random Forest,smart_ml,random_forest,1,1,180,5,300,medium,0.07545731707317073,0.0,0.33,33.6,5,200,0.33,180,1.0,120,0.4
Smart + XGBoost,smart_ml,xgboost,1,1,180,5,300,medium,0.06935975609756098,0.0,0.30333333333333334,17.0,10,195,0.30333333333333334,180,1.0,120,0.4
Sequential,sequential,none,2,2,180,5,300,medium,0.0024096385542168677,0.0,0.01,0.3333333333333333,3,365,0.01,180,1.0,120,0.4
Random,random,none,2,2,180,5,300,medium,0.0008032128514056225,0.0,0.0033333333333333335,1.0,1,367,0.0033333333333333335,142,0.7888888888888889,158,0.5266666666666666
Smart + Logistic,smart_ml,logistic,2,2,180,5,300,medium,0.04176706827309237,0.0,0.17333333333333334,0.2727272727272727,22,346,0.17333333333333334,180,1.0,120,0.4
Smart + Random Forest,smart_ml,random_forest,2,2,180,5,300,medium,0.035341365461847386,0.0,0.14666666666666667,0.29411764705882354,17,351,0.14666666666666667,180,1.0,120,0.4
Smart + XGBoost,smart_ml,xgboost,2,2,180,5,300,medium,0.04176706827309237,0.0,0.17333333333333334,0.2727272727272727,22,346,0.17333333333333334,180,1.0,120,0.4
Sequential,sequential,none,3,3,180,5,300,medium,0.00502092050209205,0.0,0.02,22.6,5,536,0.02,180,1.0,120,0.4
Random,random,none,3,3,180,5,300,medium,0.009205020920502092,0.0,0.03666666666666667,11.222222222222221,9,532,0.03666666666666667,143,0.7944444444444444,157,0.5233333333333333
Smart + Logistic,smart_ml,logistic,3,3,180,5,300,medium,0.06778242677824267,0.0,0.27,9.842105263157896,19,522,0.27,180,1.0,120,0.4
Smart + Random Forest,smart_ml,random_forest,3,3,180,5,300,medium,0.06778242677824267,0.0,0.27,7.269230769230769,26,515,0.27,180,1.0,120,0.4
Smart + XGBoost,smart_ml,xgboost,3,3,180,5,300,medium,0.06527196652719665,0.0,0.26,6.714285714285714,28,513,0.26,180,1.0,120,0.4
Sequential,sequential,none,4,4,180,5,300,medium,0.008902077151335312,0.0033333333333333335,0.023333333333333334,23.8,5,254,0.02,180,1.0,120,0.4
Random,random,none,4,4,180,5,300,medium,0.004451038575667656,0.0033333333333333335,0.013333333333333334,19.0,3,256,0.01,149,0.8277777777777777,151,0.5033333333333333
Smart + Logistic,smart_ml,logistic,4,4,180,5,300,medium,0.12166172106824925,0.0033333333333333335,0.27666666666666667,4.0,14,245,0.2733333333333333,180,1.0,120,0.4
Smart + Random Forest,smart_ml,random_forest,4,4,180,5,300,medium,0.10682492581602374,0.0033333333333333335,0.24333333333333335,3.6,15,244,0.24,180,1.0,120,0.4
Smart + XGBoost,smart_ml,xgboost,4,4,180,5,300,medium,0.1142433234421365,0.0033333333333333335,0.26,3.15,20,239,0.25666666666666665,180,1.0,120,0.4
